flight_number,departure_airport,arrival_airport,departure_time,arrival_time
IB5239,Tuguegarao Airport,Ada Regional Airport,12:09 AM,10:47 PM
LH3591,Kota Airport,Woja Airport,11:23 PM,12:32 AM
KL6213,Plovdiv International Airport,Ewer Airport,11:53 PM,5:16 AM
CX8376,Leonardo da Vinci–Fiumicino Airport,Senanga Airport,7:05 PM,5:18 PM
UA5308,Pasighat Airport,Deauville-Saint-Gatien Airport,9:49 AM,8:43 AM
TG6875,San Juan Del César Airport,Telêmaco Borba Airport,2:13 AM,12:18 PM
TG5067,Uléi Airport,Alton Downs Airport,4:51 AM,1:57 AM
AC3232,Takotna Airport,Singapore Changi Airport,11:07 AM,9:50 PM
QF8287,Iskandar Airport,Dandong Airport,2:54 AM,4:44 PM
AI1710,Shikarpur Airport,Siuna,8:02 AM,9:12 PM
AF7307,Jundah Airport,Jefferson Municipal Airport,2:02 AM,5:07 AM
LH3657,Mosjøen Airport (Kjærstad),Komatsu Airport,6:15 AM,4:26 PM
DL6919,Söderhamn Airport,Kharkhorin Airport,5:33 AM,7:47 PM
UA1453,Langkawi International Airport,Kaintiba Airport,9:53 AM,3:06 PM
DL4436,Whangarei Airport,Mauke Airport,2:24 AM,5:07 AM
KL2423,Reginaldo Hammer Airport,Nauru International Airport,12:49 PM,12:30 AM
SA4001,Hagerstown Regional Richard A Henson Field,Elazığ Airport,10:08 PM,5:05 AM
SK9524,Indianapolis International Airport,Burgos Airport,8:35 PM,12:41 PM
UA9363,Jubail Airport,Sardar-e-Jangal Airport,6:09 PM,11:49 AM
CX1399,Dabolim Airport,Kajaani Airport,11:55 AM,1:21 PM
ET8460,Januária Airport,Wau Airport,1:14 PM,7:57 PM
LA1106,Rennell/Tingoa Airport,Orlando Bezerra de Menezes Airport,10:11 AM,7:09 AM
AI1429,Bulimba Airport,Hassi R'Mel Airport,1:35 PM,5:55 AM
DL8968,Les Bases Airport,Montgomery Regional (Dannelly Field) Airport,4:17 PM,11:13 AM
QR4802,Ubon Ratchathani Airport,Fazenda Vassoural Airport,2:38 AM,1:42 AM
TG4154,Vitebsk Vostochny Airport,Maron Island Airport,12:24 PM,11:43 PM
QR4970,Puerto Paez Airport,Zhaotong Airport,10:59 PM,10:30 AM
SQ2457,Chichester/Goodwood Airport,Alameda Naval Air Station,5:06 AM,6:27 AM
NH9577,Tougan Airport,Tripoli International Airport,10:44 AM,9:25 PM
AF1326,Watsonville Municipal Airport,Huntingburg Airport,4:49 PM,1:38 PM
AF1454,Vagar Airport,Mount Pleasant Airport,11:57 AM,12:47 PM
IB3890,Witu Airport,Diego Aracena Airport,7:37 AM,6:42 AM
AA2833,Tongliao Airport,Solapur Airport,8:29 AM,11:47 AM
NH7687,Stanthorpe Airport,Hamilton Field,8:06 PM,8:44 PM
TG6876,Buka Airport,Bacacheri Airport,6:47 AM,4:57 AM
UA9016,José Leonardo Chirinos Airport,Ryan's Creek Aerodrome,8:34 PM,7:06 AM
AC7203,Bielsko-Bialo Kaniow Airfield,Mesquite Airport,6:10 PM,2:50 PM
WN7987,Iriona Airport,Carlisle Airport,9:27 AM,1:32 AM
SK9545,Snohomish County (Paine Field) Airport,Al Taqaddum Air Base,12:50 PM,10:26 PM
UA4214,Chita-Kadala Airport,Riesa-Göhlis Airport,11:52 AM,7:58 PM
EK4464,Ituberá Airport,Cape Orford Airport,3:17 PM,7:02 AM
AV6698,Minden-Tahoe Airport,Ted Stevens Anchorage International Airport,12:19 PM,5:25 AM
SQ4965,Ganja Airport,Lime Village Airport,1:55 AM,10:48 AM
SA8759,Barquisimeto International Airport,Khwahan Airport,6:36 PM,12:49 PM
AM3850,San Andros Airport,Ponta Porã Airport,11:50 PM,2:21 PM
LH3418,Mangaia Island Airport,Mohéli Bandar Es Eslam Airport,10:52 AM,12:22 PM
AF6346,Carajás Airport,Ørland Airport,7:04 PM,2:24 AM
AI3145,Mabaruma Airport,Minhas Air Base,4:23 AM,1:27 PM
LH3957,Heide-Büsum Airport,Sandstone Airport,2:23 AM,12:45 PM
LH3012,Ampanihy Airport,Delta Junction Airport,2:03 AM,6:53 PM
UA9423,Phuket International Airport,Antalya International Airport,5:09 PM,2:11 AM
SQ3804,Cagliari Elmas Airport,Adi Sumarmo Wiryokusumo Airport,6:57 PM,10:57 AM
TG6378,Ouahigouya Airport,Lovell Field,9:22 AM,3:07 PM
SQ7691,Merimbula Airport,Fergana International Airport,6:27 AM,11:21 PM
KL7530,Cluj-Napoca International Airport,Zunyi Xinzhou Airport,9:05 PM,1:22 PM
AC3884,Margaret River (Station) Airport,Tshimpi Airport,11:51 PM,6:27 PM
UA5234,Lac Gagnon Seaplane Base,Christmas Island Airport,1:27 AM,10:02 PM
AA7759,Repulse Bay Airport,Springvale Airport,12:34 AM,5:18 AM
SK2032,Mariscal Lamar Airport,Harrisburg International Airport,8:27 AM,6:50 PM
AV3280,Normans Cay Airport,Obo Airport,1:14 AM,5:55 PM
UA7107,Lady Franklin Point Airport,Grand Lake Regional Airport,5:44 AM,4:40 PM
KL3711,Baniyala Airport,Sohag International Airport,10:31 PM,5:10 PM
LH2485,San Marcos Airport,Chhatrapati Shivaji International Airport,2:50 AM,7:27 PM
LH6251,Ngjiva Pereira Airport,Big Bear City Airport,9:52 PM,11:24 AM
AZ4856,Staroselye Airport,Kodiak Municipal Airport,12:34 AM,11:45 AM
AI6595,Vila Bela da Santíssima Trindade Airport,Wakkanai Airport,12:52 AM,9:04 PM
AA7154,Eisenach-Kindel Airport,Hancock County-Bar Harbor Airport,6:57 AM,4:40 AM
WN3384,Baganga airport,Kulik Lake Airport,6:56 PM,8:23 AM
NZ2540,Owen Sound / Billy Bishop Regional Airport,Clarksville–Montgomery County Regional Airport,5:37 PM,2:46 PM
LA9236,Kaghau Airport,Nauru International Airport,2:56 PM,7:12 PM
UA1618,Canela Airport,Helgoland-Düne Airport,11:10 PM,4:10 PM
AC1219,Touat Cheikh Sidi Mohamed Belkebir Airport,Naxos Airport,6:19 AM,2:46 PM
AA2935,Melangguane Airport,Gabès Matmata International Airport,8:51 PM,4:20 AM
AV4742,Lomé-Tokoin Airport,Henri Coandă International Airport,6:48 PM,10:10 AM
UA9501,London Stansted Airport,Düsseldorf Airport,5:18 AM,6:44 AM
QR6356,Kerrville Municipal Louis Schreiner Field,Devi Ahilyabai Holkar Airport,10:40 PM,11:54 AM
QR4368,Southport Airport,Kauehi Airport,5:11 PM,1:02 AM
DL3021,Morney Airport,Aerotortuguero Airport,9:53 AM,1:35 AM
ET8782,Irkutsk Airport,Meadow Lake Airport,2:43 PM,12:19 PM
WN5669,Skive Airport,Iboki Airport,5:26 AM,7:48 PM
LA1315,Jose Maria Córdova International Airport,Greater Cumberland Regional Airport,1:13 AM,10:30 PM
DL5525,Pincher Creek Airport,Poplarville Pearl River County Airport,2:46 PM,4:47 PM
AF4630,Yalgoo Airport,Roy Otten Memorial Airfield,1:03 AM,1:43 AM
NZ3326,Beni Mellal Airport,Bugulma Airport,2:33 AM,12:41 PM
ET5759,Toussaint Louverture International Airport,Tarbela Dam Airport,7:10 AM,5:13 PM
KL9443,Sir Charles Gaetan Duval Airport,Portsmouth International at Pease Airport,1:30 AM,8:50 PM
AI4967,Bapi Airstrip,Sumbe Airport,7:47 PM,7:37 PM
UA4725,Mono Airport,Groton New London Airport,5:30 PM,5:40 PM
ET6816,Antsoa Airport,Sanandaj Airport,9:47 AM,12:17 AM
LA7165,Wabag Airport,Haley Army Airfield,1:14 AM,10:01 PM
DL8564,Tupile Airport,Ruben Cantu Airport,6:48 AM,5:25 AM
WN7861,Hambantota Seaplane Base,São Gabriel Airport,8:25 AM,10:38 PM
KE9801,Wilbarger County Airport,Gustaf III Airport,2:10 PM,1:30 PM
KE5512,Khan Jahan Ali Airport,Sebba Airport,4:21 PM,11:33 PM
AZ6288,Bairnsdale Airport,Ardmore Downtown Executive Airport,2:08 AM,10:18 PM
TG4154,Ust-Tsylma Airport,Montgomery Regional (Dannelly Field) Airport,8:03 AM,6:35 AM
SA5308,Tamuin Airport,Drake Bay Airport,4:51 PM,1:01 PM
SA4339,Lake Murray Airport,Baracoa Airport,8:20 PM,1:14 PM
WN6726,Drift River Airport,Hato International Airport,6:27 PM,11:38 AM
KL4926,Jeki Airport,Kasabonika Airport,4:23 PM,1:28 AM
DL5548,Chigorodó Airport,Auburn Municipal Airport,5:47 PM,10:01 PM
UA9835,Langimar Airport,Bou Chekif Airport,2:09 AM,11:50 AM
SK7593,Clermont Airport,EMBRAER - Unidade Gavião Peixoto Airport,1:08 AM,11:29 AM
AV9155,Elista Airport,RAF Fairford,8:31 PM,11:40 AM
TG3912,Saposoa Airport,Masvingo International Airport,10:43 AM,11:19 PM
LH9450,Bocas Del Toro International Airport,Monte Real Air Base,8:01 PM,2:05 PM
EK8320,Puerto Armuelles Airport,Auxiliary Airfield,1:43 PM,1:10 AM
AF8029,General Guadalupe Victoria International Airport,Cherskiy Airport,10:28 AM,10:05 AM
ET9515,Castle Airport,Akola Airport,5:08 PM,4:21 AM
UA6785,Birmingham-Shuttlesworth International Airport,Jammu Airport,6:30 PM,1:15 PM
CX7704,Heathlands Airport,Bermejo Airport,3:54 AM,4:44 AM
NZ7644,Bulgan Sum Airport,Daman Airport,1:05 PM,3:00 PM
KE2765,Labo Airport,Medicine Hat Airport,1:57 AM,9:43 AM
AV1487,Siena-Ampugnano Airport,Hanimaadhoo Airport,11:32 PM,3:25 PM
AA1559,Baghdad International Airport,Perth Jandakot Airport,9:50 AM,9:44 AM
AC2475,Rainbow Lake Airport,Kimble County Airport,3:51 AM,12:36 AM
AV3280,Mehrabad International Airport,Komatipoort Airport,2:16 PM,11:38 PM
TG9254,Campbell River Airport,Çardak Airport,6:57 PM,12:48 AM
SK8474,Dargaville Aerodrome,RAF Akrotiri,7:49 PM,7:54 PM
AF3264,Benina International Airport,Borg El Arab International Airport,2:28 PM,5:52 PM
UA2957,Perito Moreno Airport,Berlevåg Airport,1:14 PM,1:52 AM
SK7971,Nea Anchialos Airport,Cerro Largo International Airport,11:54 PM,3:57 PM
SQ2302,Lawrence County Airpark,Wings Field,9:17 PM,1:55 AM
WN6588,Marshall Islands International Airport,Makurdi Airport,9:04 PM,1:41 PM
SQ5103,Maniwaki Airport,Augustus Downs Airport,1:25 AM,9:56 AM
AA8346,Big Bear City Airport,Des Moines International Airport,6:10 AM,6:57 PM
NH3161,Inverway Airport,Carurú Airport,1:41 AM,4:45 PM
QF7905,Cheadle Airport,Philip Airport,11:47 PM,11:55 PM
CX5398,Eucla Airport,Zürich Airport,1:33 AM,3:27 AM
BA1547,Salem Municipal Airport/McNary Field,Bristol Filton Airport,3:33 AM,10:42 AM
SK9881,Winkler County Airport,Wilbarger County Airport,10:58 PM,4:58 PM
NZ3167,Boeing Field King County International Airport,Tallahassee Regional Airport,7:13 PM,3:09 PM
QF2960,Notodden Airport,John C. Munro Hamilton International Airport,4:58 PM,6:03 PM
AF2026,Statesboro Bulloch County Airport,Cascavel Airport,5:03 PM,8:00 AM
SA8676,Kennett Memorial Airport,Fort Dodge Regional Airport,1:07 PM,6:18 PM
CX9990,Sacramento Executive Airport,Licenciado y General Ignacio Lopez Rayon Airport,9:33 PM,7:56 AM
TG3165,Darwin International Airport,Mouyondzi Airport,2:36 PM,8:36 PM
NZ4558,Mostar International Airport,Tapini Airport,8:46 PM,11:59 AM
SQ9484,Jiri Airport,Sabha Airport,12:10 AM,3:36 PM
AA4754,Yakutat Airport,Boryspil International Airport,9:12 PM,1:43 PM
TG7226,Taupo Airport,Yan'an Ershilipu Airport,1:44 PM,4:16 AM
NZ6628,Midland Airpark,Saint-Brieuc-Armor Airport,2:30 AM,2:23 AM
AZ3825,Tarabo Airport,"Oslo, Fornebu Airport",7:15 PM,2:39 PM
NH2702,Lese Airport,Wycombe Air Park,4:11 AM,7:42 PM
LH7299,Aalborg Airport,Tripoli International Airport,10:22 PM,11:11 AM
KE4277,Chiang Mai International Airport,San Blas Airport,2:00 PM,1:37 AM
QF7701,General E. Mosconi Airport,Pondok Cabe Air Base,12:14 PM,12:48 PM
KL6764,Asau Airport,Tessenei Airport,11:34 PM,9:25 AM
AC2041,Solita Airport,California Redwood Coast-Humboldt County Airport,8:14 PM,11:42 AM
KE5048,Corvallis Municipal Airport,Elrose Airport,4:52 PM,12:16 AM
AC6547,German Olano Airport,Gwa Airport,6:39 PM,11:39 PM
BA2088,Chillagoe Airport,Aripuanã Airport,5:25 AM,6:38 PM
DL3314,Lafayette Regional Airport,Degah Bur Airport,8:56 PM,5:29 AM
ET7092,Abu Rudeis Airport,Yecheon Airbase,4:32 AM,2:12 PM
AC7028,Goundam Airport,Kurumoch International Airport,6:51 AM,4:09 PM
KE3160,Honiara International Airport,Calgary International Airport,11:11 PM,12:51 AM
BA8137,Yuanmou Air Base,Port Protection Seaplane Base,12:13 AM,1:11 AM
CX5129,Kariba International Airport,Offutt Air Force Base,10:12 AM,6:52 PM
AV1456,Reyes Murillo Airport,Guna Airport,9:28 PM,5:02 AM
BA1547,Skukuza Airport,Fort Lee Army Airfield,3:04 AM,8:08 AM
AV7529,Mattala Rajapaksa International Airport,Melbourne Essendon Airport,5:23 AM,7:11 AM
DL8386,Mandora Airport,Stevens Village Airport,1:58 PM,11:39 PM
IB3042,Mopah Airport,Thames Aerodrome,12:39 PM,7:39 PM
SQ3948,Varna Airport,Moore County Airport,11:33 PM,9:15 AM
WN9004,Abaco I Walker C Airport,Sabha Airport,6:16 AM,6:35 PM
NZ7385,Las Vegas Municipal Airport,Canobie Airport,3:31 AM,12:40 PM
LH6097,Jinja Airport,Woodie Woodie Airport,6:44 PM,5:13 PM
AV4698,San Fernando De Apure Airport,Nador International Airport,12:18 PM,11:14 PM
DL3595,Morawa Airport,Imbaimadai Airport,3:53 AM,8:22 PM
DL4026,Unalakleet Airport,Campo Fontenelle Airport,8:47 AM,7:14 PM
AV5645,L O Simenstad Municipal Airport,Mitchell Plateau Airport,5:26 AM,6:08 PM
UA5817,Maintirano Airport,Hilton Head Airport,11:29 AM,8:34 PM
NH6772,Eastland Municipal Airport,Sydney Bankstown Airport,3:29 AM,5:38 PM
SK5355,Dillant Hopkins Airport,Zabrat Airport,1:18 AM,3:13 AM
QR5248,Orocue Airport,Albury Airport,10:06 PM,3:44 PM
CX7337,Nellis Air Force Base,Moundou Airport,3:11 AM,5:45 AM
AC6932,Sandstone Airport,New Chitose Airport,5:54 AM,9:08 PM
NZ8575,Pulau Tioman Airport,Obano Airport,12:58 AM,7:04 AM
DL8815,Ísafjörður Airport,Little Grand Rapids Airport,6:08 AM,5:49 AM
ET2520,Estherville Municipal Airport,Cadjehoun Airport,11:24 PM,2:51 PM
NZ3217,Anapa Vityazevo Airport,Kalaeloa Airport,3:32 AM,7:19 AM
AI1305,Pemba Airport,Camilo Daza International Airport,9:26 PM,7:56 AM
QF5881,Miho Yonago Airport,Port Heiden Airport,2:56 AM,5:05 PM
SK7480,Brigadier Antonio Parodi Airport,Leo Airport,11:28 PM,4:28 AM
AV3392,Henry Tift Myers Airport,Headingly Airport,11:19 PM,10:02 AM
SA3924,Rigolet Airport,Thumrait Air Base,12:08 AM,1:18 PM
NH8129,Yibin Caiba Airport,Morawa Airport,1:52 AM,5:53 AM
DL5432,Jacareacanga Airport,Komatipoort Airport,9:59 PM,11:27 PM
ET5547,Hatbox Field,Monkey Bay Airport,9:32 AM,7:03 PM
AC9935,Sertanópolis Airport,Anniston Regional Airport,11:46 AM,10:34 PM
AC3884,Mount Swan Airport,Linden Airport,12:18 AM,1:08 AM
QF9225,Kaneohe Bay MCAS (Marion E. Carl Field) Airport,South Molle Island Helipad,2:11 PM,2:58 PM
AZ2754,Jacmel Airport,Donoi Airport,9:24 PM,7:36 AM
AF4367,Balıkesir Körfez Airport,St Marys Municipal Airport,3:03 AM,12:10 PM
AA5793,Torrington Municipal Airport,Concórdia Airport,11:50 AM,9:55 AM
TG7204,Odessa International Airport,Yapsiei Airport,10:29 AM,9:02 PM
SQ5037,Captain Auguste George Airport,Basango Mboliasa Airport,10:47 AM,5:44 PM
KE9265,Lille-Lesquin Airport,Licenciado Benito Juarez International Airport,5:16 AM,12:49 AM
QR4584,Ernest A. Love Field,Great Harbour Cay Airport,11:56 PM,10:09 PM
SQ7691,Punta de Maisi Airport,Jomo Kenyatta International Airport,4:17 AM,9:52 AM
UA1453,Tambolaka Airport,Kairuku Airport,3:53 AM,2:56 AM
UA8455,Andrau Airpark,Namutoni Airport,1:57 AM,8:45 AM
AM3307,Amado Nervo National Airport,Butaritari Atoll Airport,10:52 PM,7:30 AM
BA4990,Fort Simpson Airport,Port Graham Airport,2:49 PM,11:24 AM
TG4764,Yucca Airstrip,Cururupu Airport,1:25 PM,6:31 PM
QR9262,Kassala Airport,Beirut Rafic Hariri International Airport,2:16 AM,6:38 AM
DL1765,Abaiang Airport,Arusha Airport,11:08 AM,3:55 PM
WN7481,Anápolis Airport,Labasa Airport,6:26 PM,3:15 PM
KL3967,Toronto/Oshawa Executive Airport,Boku Airport,4:03 PM,4:12 PM
AM4717,Huallaga Airport,Ikerassaarsuk Heliport,7:55 PM,7:31 PM
AI4924,Namlea Airport,Lake Baringo Airport,3:56 AM,9:31 AM
DL5162,Tara Airport,Krasnoselkup Airport,8:29 PM,7:32 AM
NH9219,Yoron Airport,Jask Airport,4:09 AM,4:26 AM
KL3038,Terrance B. Lettsome International Airport,Sebring Regional Airport,3:37 AM,3:17 AM
NZ4960,Ellison Onizuka Kona International At Keahole Airport,Sacramento International Airport,6:30 AM,11:33 PM
AI5161,Kaimana Airport,Clinton County Airport,8:36 PM,1:14 PM
AF2617,Rocky Mountain Metropolitan Airport,Abbotsford Airport,2:14 AM,2:38 AM
TG7872,Bui-Dama Airport,Jenpeg Airport,9:25 PM,4:22 PM
LH7119,Alice Arm/Silver City Seaplane Base,Chino Airport,7:18 AM,7:12 PM
BA9701,Cairo International Airport,Borkum Airport,2:12 PM,4:20 PM
IB2906,Port Alsworth Airport,Puerto Cabezas Airport,8:37 PM,12:47 PM
NH7569,Malatya Erhaç Airport,Ardmore Downtown Executive Airport,10:35 AM,6:39 PM
SA4881,Wings Field,Dezful Airport,4:18 PM,3:26 PM
AM1425,Collie Airport,Impfondo Airport,4:22 AM,12:20 PM
AM8497,Griffith Airport,Tallahassee Regional Airport,11:34 AM,9:05 PM
AC8533,Plan De Guadalupe International Airport,Falcone–Borsellino Airport,11:49 PM,10:32 PM
CX3227,Chatham Kent Airport,Illesheim Air Base,9:33 AM,3:46 PM
AM6788,Vanguardia Airport,Rolla Downtown Airport,3:38 AM,12:54 PM
BA2574,Vichy-Charmeil Airport,Balcanoona Airport,7:19 AM,7:26 AM
AA2499,Sørkjosen Airport,Mwadui Airport,8:07 AM,6:08 AM
TG9872,Phoenix Deer Valley Airport,Shah Mokhdum Airport,5:30 AM,1:03 AM
AZ9148,Cat Lake Airport,Gore Bay Manitoulin Airport,10:08 PM,1:57 PM
ET5433,Coral Harbour Airport,Nangasuri Airport,3:36 AM,5:30 AM
QR9885,Cherif Al Idrissi Airport,Lai Airport,10:46 AM,7:23 PM
AV7022,Belbek Airport,Robert Gabriel Mugabe International Airport,7:55 PM,1:04 AM
CX4113,Coastal Carolina Regional Airport,Ngloram Airport,8:18 PM,11:40 AM
QF9353,Uşak Airport,Khatanga Airport,3:42 AM,3:43 AM
UA9619,Young Airport,Rockhampton Downs Airport,11:32 PM,10:39 AM
AM3244,Caloundra Airport,Kelowna International Airport,5:47 AM,12:17 AM
AV2185,Jackpot Airport/Hayden Field,Łódź Władysław Reymont Airport,8:09 PM,4:51 PM
SK5755,Whitianga Airport,Ordos Ejin Horo Airport,3:30 AM,3:59 AM
SQ4020,Fort Mcpherson Airport,Union Island International Airport,1:27 PM,10:31 AM
NZ9667,Mount Washington Regional Airport,Bilogai-Sugapa Airport,9:57 AM,12:30 AM
AZ2524,Kaukura Airport,Laoag International Airport,11:25 AM,9:39 AM
UA9501,Qianjiang Wulingshan Airport,Jacquinot Bay Airport,10:37 AM,2:40 PM
EK2263,Artesia Municipal Airport,Fergus Falls Municipal Airport - Einar Mickelson Field,11:31 PM,8:33 PM
BA7786,Humberto Ghizzo Bortoluzzi Regional Airport,Cape Town International Airport,9:52 AM,11:16 AM
LA3053,Lab Lab Airport,Aswan International Airport,10:32 PM,2:49 PM
SQ7617,Denison Municipal Airport,Ralph M Calhoun Memorial Airport,1:57 AM,7:25 PM
DL3734,Juvenal Loureiro Cardoso Airport,Kurundi Airport,5:18 AM,4:30 PM
AV7890,Kilimanjaro International Airport,Montague-Yreka Rohrer Field,3:24 AM,6:34 PM
AV9918,Banz Airport,Albany Airport,2:39 PM,8:48 PM
EK6651,Aba Tenna Dejazmach Yilma International Airport,Pechora Airport,11:15 AM,2:46 PM
AV2250,Abreojos Airport,Alowe Airport,2:43 AM,9:43 AM
CX5757,Federico Garcia Lorca Airport,Lansdowne House Airport,11:37 AM,8:39 AM
AI5694,Yalumet Airport,Ar Horqin Airport,9:13 PM,11:10 PM
SQ9526,Los Banos Municipal Airport,Nanaimo Airport,8:08 AM,9:33 PM
AC1444,Etadunna Airport,Dallas Fort Worth International Airport,5:29 PM,12:18 PM
SA5934,Sultan Abdul Aziz Shah International Airport,Robinson River Airport,1:28 PM,4:47 AM
IB6696,Mejit Atoll Airport,Baganga airport,12:50 AM,3:08 AM
NZ7772,Saglek Airport,Takaroa Airport,12:47 PM,7:31 PM
SQ8492,Tanna Airport,Ondangwa Airport,8:57 PM,12:03 AM
SQ2013,Turukhansk Airport,Tangshan Sannühe Airport,8:27 AM,9:13 PM
TG4328,Djúpivogur Airport,Chitina Airport,2:26 PM,12:49 PM
SK7338,Sibi Airport,San Angelo Regional Mathis Field,10:21 PM,9:09 AM
AI1429,Caen-Carpiquet Airport,Zamperini Field,1:27 PM,8:37 PM
AF4630,Kokshetau Airport,Schönhagen Airport,4:40 AM,7:51 AM
WN2781,Olympia Regional Airport,Dodge City Regional Airport,11:33 PM,4:35 PM
WN6462,Ravensthorpe Airport,Kowanyama Airport,6:24 PM,2:30 PM
SK4478,Taylor County Airport,Tubuai Airport,3:56 AM,8:51 AM
UA6425,Lages Airport,Southern Illinois Airport,12:39 PM,10:12 PM
IB1305,Babanakira Airport,Dandong Airport,2:22 PM,7:39 PM
AF9595,Ciudad del Carmen International Airport,Mitchell Plateau Airport,2:22 AM,11:27 PM
UA9950,Koolburra Airport,El Arish International Airport,12:11 PM,7:33 PM
QR4220,Sierra Grande Airport,Angoon Seaplane Base,8:04 AM,10:08 AM
SK5287,Ramata Airport,Tilin Airport,4:53 PM,2:41 PM
SK6941,Kaoh Kong Airport,Cap Manuel Niño International Airport,4:16 PM,4:53 AM
CX1015,Yangzhou Taizhou Airport,Stevens Point Municipal Airport,8:21 PM,3:00 PM
KE4411,Batesville Regional Airport,The Pas Airport,8:07 PM,11:35 PM
KE1844,Pukarua Airport,Xewkija Heliport,8:06 AM,8:35 AM
LA6020,Dryden Regional Airport,Twentynine Palms Airport,11:25 PM,6:18 PM
AA5556,Paulo Afonso Airport,Dubuque Regional Airport,12:09 PM,3:28 AM
KL8812,Makkovik Airport,Buin Airport,6:14 PM,5:10 AM
KL6466,Grand Junction Regional Airport,Greater Moncton International Airport,6:36 PM,12:48 PM
LA4303,Sohar Airport,San Juan /Uganik/ Seaplane Base,6:47 AM,8:03 PM
EK7012,Bella Bella (Campbell Island) Airport,La Sarre Airport,10:09 PM,10:54 AM
SK2920,Bamburi Airport,Greenville Airport,5:33 PM,8:02 AM
TG4753,Oakland County International Airport,Tumolbil Airport,11:52 AM,8:59 AM
SQ4120,Araxos Airport,Minangkabau International Airport,4:14 AM,9:09 AM
AC9162,Cessnock Airport,Changbaishan Airport,3:48 PM,7:03 PM
KL3239,Propriano Airport,Mc Entire Joint National Guard Base,6:18 AM,8:31 PM
CX8811,Tsletsi Airport,Grumman Bethpage Airport,6:15 PM,7:14 AM
SK1081,Fort Albany Airport,Habi Airport,3:23 AM,5:24 AM
SK2402,Tzaneen Airport,Provo Municipal Airport,11:31 PM,8:05 PM
CX8117,St Clair County International Airport,Oakey Airport,9:40 AM,3:52 PM
SK4118,Bagani Airport,Birchwood-Pocono Airport,7:23 PM,4:03 PM
AF9216,Paraparaumu Airport,Granite Downs Airport,4:41 AM,10:02 AM
SA8371,Hutchinson County Airport,Sialum Airport,6:58 PM,3:35 PM
IB2849,Antonio Maceo International Airport,General Manuel Serrano Airport,8:20 AM,8:50 AM
WN8983,Puas Airport,Oodnadatta Airport,7:51 PM,1:32 PM
QF3964,"Rewa Airport, Chorhata, REWA",Kaben Airport,12:14 AM,8:01 PM
NH8549,Masirah Air Base,Nukutavake Airport,12:15 AM,3:46 PM
SQ4809,Maya-Maya Airport,Rokeby Airport,7:36 AM,6:12 PM
NH3973,Waldronaire Airport,Texas Gulf Coast Regional Airport,7:10 PM,3:44 PM
